,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
112,661115,2022-07-17T00:05:00Z,2022-07-16,R,Final,New York Mets,Chicago Cubs,121,112,S,2,Drew Smyly,Max Scherzer,,,4,3,10,Bottom,17,Wrigley Field,New York Mets,Chicago Cubs,Yoan Lopez,Mychal Givens,,2022-07-16 - New York Mets (4) @ Chicago Cubs (3) (Final)
113,661082,2022-07-17T18:20:00Z,2022-07-17,R,Final,New York Mets,Chicago Cubs,121,112,N,1,Adrian Sampson,David Peterson,,,2,3,9,Top,17,Wrigley Field,Chicago Cubs,New York Mets,Rowan Wick,Drew Smith,David Robertson,2022-07-17 - New York Mets (2) @ Chicago Cubs (3) (Final)
114,662481,2022-07-22T23:10:00Z,2022-07-22,R,Final,San Diego Padres,New York Mets,135,121,N,1,Max Scherzer,Yu Darvish,,,4,1,9,Bottom,3289,Citi Field,San Diego Padres,New York Mets,Yu Darvish,Max Scherzer,Taylor Rogers,2022-07-22 - San Diego Padres (4) @ New York Mets (1) (Final)
115,662495,2022-07-23T23:10:00Z,2022-07-23,R,Final,San Diego Padres,New York Mets,135,121,N,1,Chris Bassitt,Blake Snell,,,2,1,9,Bottom,3289,Citi Field,San Diego Padres,New York Mets,Blake Snell,Chris Bassitt,Taylor Rogers,2022-07-23 - San Diego Padres (2) @ New York Mets (1) (Final)
116,662458,2022-07-24T23:08:00Z,2022-07-24,R,Final,San Diego Padres,New York Mets,135,121,N,1,Carlos Carrasco,Joe Musgrove,,,5,8,9,Top,3289,Citi Field,New York Mets,San Diego Padres,Drew Smith,Joe Musgrove,Edwin Diaz,2022-07-24 - San Diego Padres (5) @ New York Mets (8) (Final)
117,662438,2022-07-26T23:10:00Z,2022-07-26,R,Final,New York Yankees,New York Mets,147,121,N,1,Taijuan Walker,Jordan Montgomery,,,3,6,9,Top,3289,Citi Field,New York Mets,New York Yankees,Taijuan Walker,Jordan Montgomery,Edwin Diaz,2022-07-26 - New York Yankees (3) @ New York Mets (6) (Final)
118,662420,2022-07-27T23:10:00Z,2022-07-27,R,Final,New York Yankees,New York Mets,147,121,N,1,Max Scherzer,Domingo German,,,2,3,9,Bottom,3289,Citi Field,New York Mets,New York Yankees,Seth Lugo,Wandy Peralta,,2022-07-27 - New York Yankees (2) @ New York Mets (3) (Final)
119,661372,2022-07-29T22:40:00Z,2022-07-29,R,Final,New York Mets,Miami Marlins,121,146,N,1,Sandy Alcantara,Chris Bassitt,,,6,4,9,Bottom,4169,loanDepot park,New York Mets,Miami Marlins,Adam Ottavino,Steven Okert,Edwin Diaz,2022-07-29 - New York Mets (6) @ Miami Marlins (4) (Final)
120,661371,2022-07-30T22:10:00Z,2022-07-30,R,Final,New York Mets,Miami Marlins,121,146,N,1,Nick Neidert,Carlos Carrasco,,,4,0,9,Bottom,4169,loanDepot park,New York Mets,Miami Marlins,Carlos Carrasco,Nick Neidert,,2022-07-30 - New York Mets (4) @ Miami Marlins (0) (Final)
121,661370,2022-07-31T17:40:00Z,2022-07-31,R,Final,New York Mets,Miami Marlins,121,146,N,1,Pablo Lopez,Taijuan Walker,,,9,3,9,Bottom,4169,loanDepot park,New York Mets,Miami Marlins,Taijuan Walker,Pablo Lopez,,2022-07-31 - New York Mets (9) @ Miami Marlins (3) (Final)
122,662474,2022-08-01T23:05:00Z,2022-08-01,R,Final,New York Mets,Washington Nationals,121,120,N,1,Patrick Corbin,Max Scherzer,,,7,3,9,Bottom,3309,Nationals Park,New York Mets,Washington Nationals,Max Scherzer,Patrick Corbin,,2022-08-01 - New York Mets (7) @ Washington Nationals (3) (Final)
123,662529,2022-08-02T23:05:00Z,2022-08-02,R,Final,New York Mets,Washington Nationals,121,120,N,1,Cory Abbott,Jacob deGrom,,,1,5,9,Top,3309,Nationals Park,Washington Nationals,New York Mets,Victor Arano,Stephen Nogosek,,2022-08-02 - New York Mets (1) @ Washington Nationals (5) (Final)
124,662552,2022-08-03T20:05:00Z,2022-08-03,R,Scheduled,New York Mets,Washington Nationals,121,120,N,1,Anibal Sanchez,Chris Bassitt,,,0,0,,,3309,Nationals Park,,,,,,2022-08-03 - New York Mets @ Washington Nationals (Scheduled)
125,662419,2022-08-04T23:10:00Z,2022-08-04,R,Scheduled,Atlanta Braves,New York Mets,144,121,N,1,Carlos Carrasco,,,,0,0,,,3289,Citi Field,,,,,,2022-08-04 - Atlanta Braves @ New York Mets (Scheduled)
126,662418,2022-08-05T23:10:00Z,2022-08-05,R,Scheduled,Atlanta Braves,New York Mets,144,121,N,1,Taijuan Walker,,,,0,0,,,3289,Citi Field,,,,,,2022-08-05 - Atlanta Braves @ New York Mets (Scheduled)
127,662499,2022-08-06T17:10:00Z,2022-08-06,R,Scheduled,Atlanta Braves,New York Mets,144,121,S,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-06 - Atlanta Braves @ New York Mets (Scheduled)
128,662417,2022-08-06T23:10:00Z,2022-08-06,R,Scheduled,Atlanta Braves,New York Mets,144,121,S,2,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-06 - Atlanta Braves @ New York Mets (Scheduled)
129,662416,2022-08-07T20:10:00Z,2022-08-07,R,Scheduled,Atlanta Braves,New York Mets,144,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-07 - Atlanta Braves @ New York Mets (Scheduled)
130,662445,2022-08-08T23:10:00Z,2022-08-08,R,Scheduled,Cincinnati Reds,New York Mets,113,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-08 - Cincinnati Reds @ New York Mets (Scheduled)
131,662444,2022-08-09T23:10:00Z,2022-08-09,R,Scheduled,Cincinnati Reds,New York Mets,113,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-09 - Cincinnati Reds @ New York Mets (Scheduled)
132,662443,2022-08-10T17:10:00Z,2022-08-10,R,Scheduled,Cincinnati Reds,New York Mets,113,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-10 - Cincinnati Reds @ New York Mets (Scheduled)
133,662434,2022-08-12T23:10:00Z,2022-08-12,R,Scheduled,Philadelphia Phillies,New York Mets,143,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-12 - Philadelphia Phillies @ New York Mets (Scheduled)
134,662428,2022-08-13T23:10:00Z,2022-08-13,R,Scheduled,Philadelphia Phillies,New York Mets,143,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-13 - Philadelphia Phillies @ New York Mets (Scheduled)
135,662427,2022-08-14T17:40:00Z,2022-08-14,R,Scheduled,Philadelphia Phillies,New York Mets,143,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-14 - Philadelphia Phillies @ New York Mets (Scheduled)
136,661497,2022-08-15T23:20:00Z,2022-08-15,R,Scheduled,New York Mets,Atlanta Braves,121,144,N,1,,,,,0,0,,,4705,Truist Park,,,,,,2022-08-15 - New York Mets @ Atlanta Braves (Scheduled)
137,661495,2022-08-16T23:20:00Z,2022-08-16,R,Scheduled,New York Mets,Atlanta Braves,121,144,N,1,,,,,0,0,,,4705,Truist Park,,,,,,2022-08-16 - New York Mets @ Atlanta Braves (Scheduled)
138,661494,2022-08-17T23:20:00Z,2022-08-17,R,Scheduled,New York Mets,Atlanta Braves,121,144,N,1,,,,,0,0,,,4705,Truist Park,,,,,,2022-08-17 - New York Mets @ Atlanta Braves (Scheduled)
139,661493,2022-08-18T23:20:00Z,2022-08-18,R,Scheduled,New York Mets,Atlanta Braves,121,144,N,1,,,,,0,0,,,4705,Truist Park,,,,,,2022-08-18 - New York Mets @ Atlanta Braves (Scheduled)
140,661607,2022-08-19T23:05:00Z,2022-08-19,R,Scheduled,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,0,0,,,2681,Citizens Bank Park,,,,,,2022-08-19 - New York Mets @ Philadelphia Phillies (Scheduled)
141,661628,2022-08-20T17:05:00Z,2022-08-20,R,Scheduled,New York Mets,Philadelphia Phillies,121,143,S,1,,,,,0,0,,,2681,Citizens Bank Park,,,,,,2022-08-20 - New York Mets @ Philadelphia Phillies (Scheduled)
142,661606,2022-08-20T23:15:00Z,2022-08-20,R,Scheduled,New York Mets,Philadelphia Phillies,121,143,S,2,,,,,0,0,,,2681,Citizens Bank Park,,,,,,2022-08-20 - New York Mets @ Philadelphia Phillies (Scheduled)
143,661602,2022-08-21T17:35:00Z,2022-08-21,R,Scheduled,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,0,0,,,2681,Citizens Bank Park,,,,,,2022-08-21 - New York Mets @ Philadelphia Phillies (Scheduled)
144,661238,2022-08-22T23:05:00Z,2022-08-22,R,Scheduled,New York Mets,New York Yankees,121,147,N,1,,,,,0,0,,,3313,Yankee Stadium,,,,,,2022-08-22 - New York Mets @ New York Yankees (Scheduled)
145,661237,2022-08-23T23:05:00Z,2022-08-23,R,Scheduled,New York Mets,New York Yankees,121,147,N,1,,,,,0,0,,,3313,Yankee Stadium,,,,,,2022-08-23 - New York Mets @ New York Yankees (Scheduled)
146,662433,2022-08-25T23:10:00Z,2022-08-25,R,Scheduled,Colorado Rockies,New York Mets,115,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-25 - Colorado Rockies @ New York Mets (Scheduled)
147,662432,2022-08-26T23:10:00Z,2022-08-26,R,Scheduled,Colorado Rockies,New York Mets,115,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-26 - Colorado Rockies @ New York Mets (Scheduled)
148,662442,2022-08-27T23:10:00Z,2022-08-27,R,Scheduled,Colorado Rockies,New York Mets,115,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-27 - Colorado Rockies @ New York Mets (Scheduled)
149,662446,2022-08-28T17:40:00Z,2022-08-28,R,Scheduled,Colorado Rockies,New York Mets,115,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-28 - Colorado Rockies @ New York Mets (Scheduled)
150,662426,2022-08-30T23:10:00Z,2022-08-30,R,Scheduled,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-30 - Los Angeles Dodgers @ New York Mets (Scheduled)
151,662447,2022-08-31T23:10:00Z,2022-08-31,R,Scheduled,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-08-31 - Los Angeles Dodgers @ New York Mets (Scheduled)
